"HDR","FEC","8.0","NGP","3.0","","0",""
"F3XN","C00495028","House Majority PAC","","700 13th Street, NW","Suite 600","Washington","DC","20005","YE","","","","20111004","20111231","","Abbey","Candace","Bryan","","","20120131","781900.00","910215.00","1692115.00","519021.78","1173093.22","0.00","0.00","439635.00","580.00","440215.00","0.00","470000.00","910215.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","910215.00","910215.00","0.00","0.00","366047.46","366047.46","0.00","0.00","152974.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","519021.78","519021.78","910215.00","0.00","910215.00","366047.46","0.00","366047.46","0.00","2011","3020215.00","3020215.00","1847121.78","1173093.22","1564635.00","580.00","1565215.00","0.00","1455000.00","3020215.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3020215.00","3020215.00","0.00","0.00","773270.94","773270.94","0.00","0.00","1073850.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1847121.78","1847121.78","3020215.00","0.00","3020215.00","773270.94","0.00","773270.94"
"SA11AI","C00495028","C7793540","","","IND","","Berman","Michael","","","","2801 New Mexico Ave NW","Apt 817","Washington","DC","200073910","","","20111019","5000.00","5000.00","","The Duberstein Group","President","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C8175862","","","ORG","Laborers' Political League Education Fund","","","","","","905 16th Street, NW","","Washington","DC","20006","","","20111209","150000.00","350000.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C7786903","","","IND","","Eychaner","Fred","","","","1645 W. Fullerton Avenue","","Chicago","IL","60614","","","20111017","150000.00","250000.00","","Newsweb Corrporation","CEO","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C7783394","","","IND","","Beeuwkes","Nancy","","","","1360 Monument Street","","Concord","MA","01742","","","20111011","25000.00","25000.00","","N/A","Retired","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C8199414","","","IND","","Miner","Nicola","","","","2835 Broadway Street","","San Francisco","CA","94115","","","20111219","4635.00","4635.00","","Quotidian Gallery Corporation","Real Estate","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C7795225","","","IND","","Schwartz","Bernard","L.","","","944 Fifth Avenue","","New York","NY","10021","","","20111019","100000.00","100000.00","","BLS Investments, LLC","Chairman & CEO","","","","","","","","","","","","","","","","","","","",""
"SA11AI","C00495028","C8118086","","","IND","","Chapman","Matt","","","","615 SW Burlingame Terrace","","Portland","OR","97239","","","20111202","5000.00","5000.00","","NorthWest Evaluation Association","Owner/CEO","","","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8199401","","","PAC","DRIVE - Democrat Republican Independent Voter Education","","","","","","25 Lousiana Avenue, NW","","Washington","DC","20001","","","20111219","200000.00","210000.00","","","","C00032979","DRIVE - Democrat Republican Independent Voter Education","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8213332","","","PAC","Sheet Metal Workers International Association Political Action League","","","","","","1750 New York Avenue, NW","","Washington","DC","20006","","","20111220","5000.00","5000.00","","","","C00007542","Sheet Metal Workers International Association Political Action League","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8199402","","","PAC","United Food & Commercial Workers International Union Active Ballot Club","","","","","","1775 K Street, NW","","Washington","DC","20006","","","20111219","150000.00","200000.00","","","","C00002766","United Food & Commercial Workers International Union Active Ballot Club","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8208294","","","PAC","International Brotherhood of Electrical Workers PAC","","","","","","900 Seventh Street, NW","","Washington","DC","20001","","","20111220","50000.00","50000.00","","","","C00027342","International Brotherhood of Electrical Workers PAC","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8295765","","","PAC","International Brotherhood of Boilermakers CAF","","","","","","753 State Avenue","Suite 565","Kansas City","KS","66101","","","20111229","10000.00","10000.00","","","","C00005157","International Brotherhood of Boilermakers CAF","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8173587","","","PAC","American Association for Justice PAC","","","","","","777 6th Street, NE","Suite 200","Washington","DC","20001","","","20111207","50000.00","100000.00","","","","C00024521","American Association for Justice PAC","","","","","","","","","","","","","","","","","",""
"SA11C","C00495028","C8208298","","","PAC","American Postal Workers Union Committee on Politcal Action","","","","","","1300 L Street, NW","","Washington","DC","20005","","","20111220","5000.00","5000.00","","","","C00010322","American Postal Workers Union Committee on Politcal Action","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D586430","","","ORG","Paychex","","","","","","3060 Williams Drive","Suite 200","Fairfax","VA","22031","","","20111230","62.01","","Payroll Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D581410","","","ORG","Matthew C. Fuentes","","","","","","2929 Connecticut Avenue, NW","","Washington","DC","20008","","","20111104","204.55","","Reimbursement - Travel & Telephone","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587440","","","IND","","Lapp","Alixandria","","","","114 S. Cherry Street","","Falls Church","VA","22046","","","20111230","5445.03","","Salary","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587450","","","ORG","Employers Preferred Insurance Company","","","","","","PO Box 53089","","Phoenix","AZ","85072","","","20111028","826.00","","Insurance","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587460","","","ORG","LexisNexis","","","","","","PO Box 7147","","Philadelphia","PA","19170","","","20111031","210.29","","Subscription","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587470","","","ORG","Matthew C. Fuentes","","","","","","2929 Connecticut Avenue, NW","","Washington","DC","20008","","","20111215","1293.45","","Salary","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587570","","","ORG","Perkins Coie LLP","","","","","","700 13th Street, NW","Suite 600","Washington","DC","20005","","","20111031","1756.80","","Legal Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587580","","","IND","","Roche","Shannon","","","","1307 Wallach Place NW","","Washington","DC","20009","","","20111230","3676.21","","Salary","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D586421","","","ORG","LexisNexis","","","","","","PO Box 7147","","Philadelphia","PA","19170","","","20111230","159.00","","Subscription","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D581411","","","IND","","Lapp","Alixandria","","","","114 S. Cherry Street","","Falls Church","VA","22046","","","20111104","296.10","","Reimbursement - Travel/Telephone/ Supplies","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587441","","","ORG","Citibank","","","","","","1400 G Street, NW","","Washington","DC","20005","","","20111101","14.00","","Bank Fee","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587451","","","ORG","Georgetown Post","","","","","","3299 K Street","Suite 101","Washington","DC","20007","","","20111005","500.00","","Rent","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587461","","","ORG","LexisNexis","","","","","","PO Box 7147","","Philadelphia","PA","19170","","","20111102","159.00","","Subscription","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587471","","","ORG","Matthew C. Fuentes","","","","","","2929 Connecticut Avenue, NW","","Washington","DC","20008","","","20111230","1293.44","","Salary","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587531","","","ORG","National Journal Group, Inc.","","","","","","PO Box 64408","","Baltimore","MD","21264","","","20111028","1670.27","","Subscription","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587551","","","ORG","Paychex","","","","","","3060 Williams Drive","Suite 200","Fairfax","VA","22031","","","20111115","5048.89","","Payroll Taxes","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587571","","","ORG","Public Policy Polling","","","","","","2400 Alwin Court","","Raleigh","NC","27604","","","20111202","24000.00","","Polling Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D578511","","","ORG","Paychex","","","","","","3060 Williams Drive","Suite 200","Fairfax","VA","22031","","","20111014","67.84","","Payroll Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D586422","","","ORG","BierMug LLC","","","","","","3827 Menlo Drive","","Baltimore","MD","21215","","","20111230","750.00","","Computer Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587432","","","ORG","4C Partners, LLC","","","","","","718 Seventh Street, NW","Suite 300","Washington","DC","20001","","","20111028","10461.15","","Fundraising Consutling Services","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587442","","","ORG","Citibank","","","","","","1400 G Street, NW","","Washington","DC","20005","","","20111014","14.00","","Bank Fee","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00495028","D587462","","","ORG","LexisNexis","","","","","","PO Box 7147","","Philadelphia","PA","19170","","","20111130","159.00","","Subscription","","","","","","","","","","","","","","","","","","","","",""
